,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty,macd,signal,macdHisto,twentyeightDayVol
127,99.16,99.11,99.04,98.63,98.43,97.0,96.1,89.84,0.4100000000000108,0.3370326813479552,0.07296731865205558,0.263
128,99.57,99.49,99.38,98.82,98.61,97.17,96.27,90.03,0.5600000000000023,0.3816261450783647,0.1783738549216376,0.262
129,99.66,99.58,99.48,98.91,98.7,97.28,96.39,90.19,0.5700000000000074,0.41930091606269326,0.15069908393731413,0.258
130,100.35,100.22,100.04,99.22,98.99,97.51,96.61,90.4,0.8200000000000074,0.4994407328501561,0.3205592671498513,0.255
131,100.61,100.48,100.28,99.4,99.16,97.67,96.77,90.59,0.8799999999999955,0.5755525862801241,0.3044474137198714,0.253
132,101.26,101.1,100.83,99.73,99.46,97.91,97.0,90.81,1.0999999999999943,0.6804420690240982,0.4195579309758961,0.253
133,101.84,101.66,101.34,100.06,99.76,98.16,97.23,91.03,1.2800000000000011,0.8003536552192788,0.4796463447807223,0.254
134,102.62,102.41,102.02,100.48,100.15,98.46,97.51,91.27,1.539999999999992,0.9482829241754216,0.5917170758245704,0.253
135,103.18,102.96,102.54,100.85,100.49,98.73,97.77,91.5,1.690000000000012,1.0966263393403397,0.5933736606596722,0.25
136,103.63,103.41,102.98,101.19,100.81,98.99,98.02,91.73,1.7900000000000063,1.235301071472273,0.5546989285277333,0.249
137,103.92,103.71,103.3,101.48,101.08,99.23,98.25,91.95,1.8199999999999932,1.352240857177817,0.4677591428221761,0.245
138,104.2,104.0,103.61,101.76,101.35,99.47,98.48,92.17,1.8499999999999943,1.4517926857422525,0.3982073142577418,0.237
139,104.7,104.49,104.09,102.13,101.7,99.75,98.75,92.41,1.960000000000008,1.5534341485938037,0.40656585140620427,0.229
140,104.86,104.67,104.31,102.38,101.94,99.98,98.97,92.63,1.9300000000000068,1.6287473188750445,0.3012526811249623,0.228
141,105.01,104.84,104.51,102.62,102.18,100.2,99.19,92.84,1.8900000000000006,1.6809978551000357,0.20900214489996483,0.225
142,104.97,104.84,104.56,102.78,102.35,100.38,99.37,93.04,1.7800000000000011,1.700798284080029,0.07920171591997205,0.217
143,105.33,105.19,104.9,103.08,102.64,100.63,99.61,93.27,1.8200000000000074,1.7246386272640248,0.09536137273598255,0.213
144,105.5,105.37,105.1,103.31,102.87,100.85,99.83,93.48,1.789999999999992,1.7377109018112185,0.052289098188773586,0.212
145,105.33,105.24,105.03,103.41,102.98,101.0,99.99,93.66,1.6200000000000045,1.7141687214489758,-0.09416872144897126,0.211
146,105.47,105.39,105.19,103.6,103.18,101.2,100.19,93.86,1.5900000000000034,1.6893349771591815,-0.09933497715917805,0.209
147,104.71,104.71,104.65,103.46,103.08,101.22,100.24,93.99,1.190000000000012,1.5894679817273476,-0.39946798172733566,0.208
148,104.17,104.22,104.25,103.35,103.01,101.25,100.3,94.12,0.9000000000000057,1.4515743853818792,-0.5515743853818735,0.2
